Timestamp(ms),Current(uA),D0-D7
536.07,0.611,11111111
536.08,10.060,11111111
536.09,13.253,11111111
536.1,13.822,11111111
536.11,14.040,11111111
536.12,14.128,11111111
536.13,14.259,11111111
536.14,14.171,11111111
536.15,14.171,11111111
536.16,14.215,11111111
536.17,14.215,11111111
536.18,14.215,11111111
536.19,14.171,11111111
536.2,14.128,11111111
536.21,14.303,11111111
536.22,14.434,11111111
536.23,14.434,11111111
536.24,14.303,11111111
536.25,14.390,11111111
536.26,14.390,11111111
536.27,14.390,11111111
536.28,14.434,11111111
536.29,14.434,11111111
536.3,14.215,11111111
536.31,14.346,11111111
536.32,14.215,11111111
536.33,14.259,11111111
536.34,14.215,11111111
536.35,14.346,11111111
536.36,14.434,11111111
536.37,14.478,11111111
536.38,14.390,11111111
536.39,14.390,11111111
536.4,14.478,11111111
536.41,14.521,11111111
536.42,14.565,11111111
536.43,14.653,11111111
536.44,14.696,11111111
536.45,14.478,11111111
536.46,14.434,11111111
536.47,14.259,11111111
536.48,14.434,11111111
536.49,14.390,11111111
536.5,14.390,11111111
536.51,14.346,11111111
536.52,14.215,11111111
536.53,14.171,11111111
536.54,14.215,11111111
536.55,14.478,11111111
536.56,14.521,11111111
536.57,14.478,11111111
536.58,14.215,11111111
536.59,14.303,11111111
536.6,14.434,11111111
536.61,14.259,11111111
536.62,14.390,11111111
536.63,14.303,11111111
536.64,14.390,11111111
536.65,14.346,11111111
536.66,14.434,11111111
536.67,14.521,11111111
536.68,14.434,11111111
536.69,14.390,11111111
536.7,14.478,11111111
536.71,14.521,11111111
536.72,14.346,11111111
536.73,14.390,11111111
536.74,14.346,11111111
536.75,14.434,11111111
536.76,14.434,11111111
536.77,14.434,11111111
536.78,14.303,11111111
536.79,14.346,11111111
536.8,14.434,11111111
536.81,14.303,11111111
536.82,14.346,11111111
536.83,14.303,11111111
536.84,14.303,11111111
536.85,14.346,11111111
536.86,14.346,11111111
536.87,14.303,11111111
536.88,14.346,11111111
536.89,14.434,11111111
536.9,14.346,11111111
536.91,14.390,11111111
536.92,14.565,11111111
536.93,14.434,11111111
536.94,14.434,11111111
536.95,14.478,11111111
536.96,14.434,11111111
536.97,14.478,11111111
536.98,14.434,11111111
536.99,14.346,11111111
537,14.390,11111111
537.01,14.390,11111111
537.02,14.434,11111111
537.03,14.259,11111111
537.04,14.215,11111111
537.05,14.434,11111111
537.06,14.303,11111111
537.07,14.390,11111111
537.08,14.215,11111111
537.09,14.346,11111111
537.1,14.346,11111111
537.11,14.565,11111111
537.12,14.521,11111111
